time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.45408700857e-08,2.67109239426e-07,10.001741138,6.28267897686,6.2829430236,0.0,1.29305907726e-05,-4.83313409044e-06,0.0580361897354,-0.0362919312955,-0.0136724101866,0.0,423.8224807610828,422.6460151311867,425.07652473040065,421.95562761532676
0.12000000000000001,7.5870644432e-06,-1.42203323284e-05,10.0044396365,6.28145402367,6.28191598735,0.0,0.000313219891874,-0.000610584714304,0.0319150241731,0.000222298643305,-0.0250934530212,0.0,394.64783616265026,393.59245312955784,393.9328519428517,397.29406520871487
0.18,6.10782804045e-05,-9.02466902827e-05,10.0118397003,6.2819284625,6.28114705153,0.0,0.00159144467193,-0.00189199647178,0.214736236729,0.0200136481176,0.00446061603787,0.0,461.3960046812622,463.7230195330669,461.5358299770216,463.0948669461373
0.23999999999999996,0.000208198922149,-0.000230683852605,10.0329744059,6.2829016643,6.28124175322,0.0,0.00328830764909,-0.0026483844516,0.489676705247,0.00728245119457,-0.0049199560188,0.0,489.39710118120274,488.69848210929507,490.1239434496616,489.17687836007724
0.3,0.000447995709695,-0.000393365425325,10.0659951857,0.000595277230124,6.2810149307,0.0,0.00473215344162,-0.00270195205263,0.610958333188,0.0263507344841,-0.00159330681744,0.0,443.41283807662035,443.6860713993289,443.41109965458884,444.9745013142012
0.36000000000000004,0.000772653552216,-0.000538591860865,10.1040046735,0.00218944446705,6.28161753195,0.0,0.00605967824518,-0.00198992169727,0.655999389305,0.027003279911,0.0266633524432,0.0,418.6032687822167,421.0545792299564,419.1380316923785,419.1949316515713
0.4200000000000001,0.00116267898603,-0.000605670851285,10.1466844194,0.0039139775266,0.000255864734843,0.0,0.00676287261071,-7.27845821152e-05,0.766590371619,0.0320106018015,0.0369690232734,0.0,440.6598518547641,441.51112459034124,440.12547268805923,440.5398894172739
0.48000000000000015,0.00155428602139,-0.000522652123465,10.1954958579,0.00579197645265,0.00291400008541,0.0,0.00604123104737,0.00303182685684,0.860390094991,0.0298397428378,0.0559596250579,0.0,434.2655384930693,435.85648684972483,436.12165878101047,435.9406895243808
0.5400000000000001,0.00184358039456,-0.000214228543326,10.2501259906,0.00722206330688,0.00639459582844,0.0,0.00325306235775,0.00741689333741,0.960532640718,0.00776607558749,0.0618224379646,0.0,438.1713985678235,438.6608378246996,437.9376331822658,436.0980408057773
0.6000000000000002,0.00186872405933,0.000406372127782,10.3141219652,0.00771352715847,0.00999861429597,0.0,-0.00284745298418,0.013325132159,1.17246954997,0.00902779526903,0.0563038734527,0.0,471.42078086172853,470.99654253096094,472.80965760021263,472.9067204503515
0.6600000000000003,0.00150134242872,0.00135037156242,10.3853041244,0.0082499663028,0.0134505738572,0.0,-0.00971022378314,0.0181904739429,1.20023623703,0.00876579323286,0.0598824971008,0.0,415.47869617468547,415.7948296601194,413.91778392786716,413.89461353076183
0.7200000000000003,0.000591316845908,0.00263524980654,10.4628474756,0.0085415457195,0.0171229653184,0.0,-0.0210369484588,0.0246854581057,1.38433070677,-0.00439691694496,0.0637300604173,0.0,464.4966047386139,464.80070173495074,464.41780068158306,463.38427275413585
0.7800000000000004,-0.00101635590845,0.00428101925033,10.5476159451,0.00846512145642,0.0210454885655,0.0,-0.0329214124443,0.030157176192,1.44120774363,0.00433732187016,0.0684767252037,0.0,425.18309311294297,425.59288276004844,424.17575873333817,424.92512195680877
0.8400000000000004,-0.00345362093487,0.00627080324169,10.6376153558,0.0083342059901,0.0250417055352,0.0,-0.04874150324,0.0361795727365,1.55860961572,-0.0202652587652,0.0625684751775,0.0,444.69673758545053,444.21585015517223,445.5538233634483,443.538072491548
0.9000000000000005,-0.00695445281226,0.00862315765161,10.7358645013,0.00715417872844,0.0287008780809,0.0,-0.0683570073702,0.0420979201597,1.71612826264,-0.018496997539,0.0576190151566,0.0,457.71932485211227,457.3278261699931,456.8653942953946,457.00639409320996
0.9600000000000005,-0.0117068265489,0.0113030554414,10.8433512326,0.00598374383573,0.032206222618,0.0,-0.0904297313048,0.047105529688,1.86651774703,-0.0216082490961,0.05998199437,0.0,456.2559977300799,456.4468781041719,454.8870153954917,454.63786758093573
1.0200000000000005,-0.0178644935973,0.0142569703282,10.9599145878,0.00461898625414,0.036389223181,0.0,-0.115249751949,0.0512107928686,2.01865602964,-0.025124138195,0.0842641958575,0.0,456.1142926504686,458.05270452431705,456.28894150382723,456.00816769928144
1.0800000000000005,-0.0255073715722,0.0174141899223,11.0828646898,0.00319322196507,0.0410264290134,0.0,-0.139981033899,0.0538882364493,2.07955238986,-0.0211705191935,0.0572699350752,0.0,430.028150266126,427.74027435913683,427.949753585047,428.28604419877
1.1400000000000006,-0.0347761189485,0.0207093485838,11.2108344837,0.00217863374551,0.0448078863436,0.0,-0.169342721065,0.0558332464212,2.18589194591,-0.00951997801509,0.0725759738609,0.0,442.8049698482642,444.0650861610532,442.68992054744893,443.64756814113196
1.2000000000000006,-0.0459950955468,0.0241071837539,11.3475041892,0.00132951223173,0.049484680024,0.0,-0.20512520562,0.0573483305371,2.36937519666,-0.0255596569574,0.086958284733,0.0,466.9857091724584,468.11062974762723,467.8311040217484,466.5806904827097
1.2600000000000007,-0.0593217919069,0.0275691311545,11.4921877954,6.28306350779,0.0546059721712,0.0,-0.239604555811,0.0579011053119,2.45320450193,-0.0215786669501,0.0819404530396,0.0,438.86743902631395,438.45685326439485,436.16966745777523,436.5019141949423
